feature,importance
incident_avg_delay,5809
spatial_cell_avg_delay,3841
route_frequency,3758
minute,3726
dist_from_center,3672
location_frequency,3590
day_of_year,3576
longitude,3463
route_numeric,3436
latitude,3387
day_of_month,3209
hour,2310
hour_sin,2137
hour_cos,1988
year,1621
day_of_week,1282
week_of_year,1104
month_cos,1045
day_of_week_sin,970
month_sin,944
incident_Diversion,888
day_of_week_cos,821
dir_UNKNOWN,542
incident_General Delay,533
month,453
dir_B,382
dir_NORTH,297
season,284
is_rush_hour_am,266
incident_Other,265
dir_BIDIRECTIONAL,242
dir_SOUTH,220
dir_WEST,209
is_rush_hour,208
dir_EAST,187
day_Thursday,169
day_Friday,154
day_Tuesday,130
is_night,117
is_rush_hour_pm,107
dir_b/w,105
incident_Security,88
incident_Mechanical,57
dir_bw,55
incident_Emergency Services,51
day_Saturday,48
day_Sunday,37
incident_Collision - TTC,33
incident_Utilized Off Route,31
day_Wednesday,29
incident_Investigation,23
is_weekend,22
dir_b,14
incident_Operations - Operator,13
is_weekday,11
quarter,7
dir_e/b,7
dir_eb,6
day_Monday,6
dir_S/b,4
dir_n/b,4
route_is_numeric,4
incident_Late Leaving Garage,3
dir_. E,0
dir_1,0
dir_10,0
dir_18,0
dir_1w/b,0
dir_/,0
dir_/B,0
dir_0,0
dir_0 p.m,0
incident_Cleaning - Unsanitary,0
incident_Vision,0
dir_-,0
dir_68229,0
dir_68053,0
dir_66N,0
dir_65986,0
dir_65915,0
dir_65578,0
dir_65424,0
dir_60075,0
dir_6,0
dir_58114,0
dir_57518,0
dir_57412,0
dir_57227,0
dir_57,0
dir_56277,0
dir_51956,0
dir_51066,0
dir_5,0
dir_4,0
dir_37,0
dir_3,0
dir_23844,0
dir_2,0
dir_70611,0
dir_73870,0
dir_73961,0
dir_8,0
dir_7570,0
dir_81,0
dir_71190,0
dir_68416,0
dir_68259,0
dir_Eb,0
dir_EN,0
dir_E4,0
dir_G,0
dir_KIP STN,0
dir_M,0
dir_I,0
dir_H,0
dir_N./B,0
dir_N.B,0
dir_N/N,0
dir_N/E,0
dir_N/S,0
dir_N/b,0
dir_N.,0
dir_68360,0
dir_B.W,0
dir_9,0
dir_B/w,0
dir_B/W's,0
dir_BV,0
dir_BW's,0
dir_BWS,0
dir_BN,0
dir_Bw,0
dir_Cab,0
dir_E/W,0
dir_D,0
dir_E/b,0
dir_85,0
dir_73731,0
dir_7,0
dir_Sb,0
dir_SW,0
dir_STN,0
dir_SS,0
dir_SB.,0
dir_S/N,0
dir_R,0
dir_RAD,0
dir_Ou,0
dir_Op,0
dir_Q,0
dir_Placed,0
dir_OB,0
dir_Nb,0
dir_N320,0
dir_N`,0
dir_J,0
dir_\,0
dir_`,0
dir_Wb,0
dir_W\N,0
dir_all runs,0
dir_Wq,0
dir_St,0
dir_WE,0
dir_WS,0
dir_WSB,0
dir_Service adjsuted.,0
dir_Up,0
dir_W/E,0
dir_W/b,0
dir_T,0
dir_ee,0
dir_east,0
dir_down,0
dir_e/B,0
dir_dn,0
dir_a,0
dir_b/W,0
dir_b/ws,0
dir_`WB,0
dir_`N,0
dir_n/B,0
dir_ewb,0
dir_n/b/B,0
dir_n/n,0
dir_n/s,0
dir_n/b',0
dir_sq,0
dir_sb,0
dir_sB,0
dir_s/n,0
dir_s/d,0
dir_s/b,0
dir_s/B,0
dir_s.b,0
dir_nb,0
dir_wb,0
dir_w/b,0
dir_w\b,0
dir_u,0
dir_up,0
dir_sw,0
dir_w/B,0
